Verb,Usage (Grammar)
werden,---
haben,etw./jdn. (Akk)
sein,---
können,etw. (Akk)
geben,jdm. (Dat) etw. (Akk)
müssen,---
gehen,---
sagen,jdm. (Dat) etw. (Akk)
wollen,etw. (Akk)
wissen,etw. (Akk)
kommen,---
sollen,---
sehen,etw./jdn. (Akk)
stehen,jdm. (Dat)
lassen,etw./jdn. (Akk)
machen,etw. (Akk)
bleiben,---
liegen,---
halten,etw./jdn. (Akk)
nennen,jdn. (Akk) + Name (Akk)
tun,etw. (Akk)
sprechen,mit jdm. / über etw./jdn.
finden,etw./jdn. (Akk)
glauben,jdm. (Dat) / etw. (Akk)
führen,jdn. (Akk)
heißen,---
zeigen,jdm. (Dat) etw. (Akk)
mögen,etw./jdn. (Akk)
dürfen,---
leben,---
nehmen,etw./jdn. (Akk)
fahren,etw. (Akk)
bringen,jdm. (Dat) etw. (Akk)
meinen,etw. (Akk)
fragen,jdn. (Akk)
spielen,etw. (Akk)
gelten,für jdn./etw.
stellen,etw./jdn. (Akk)
kennen,etw./jdn. (Akk)
arbeiten,---
folgen,jdm. (Dat)
brauchen,etw./jdn. (Akk)
bestehen,aus etw. / etw. (Akk) bestehen
lernen,etw. (Akk)
bekommen,etw. (Akk)
setzen,etw./jdn. (Akk)
verstehen,etw./jdn. (Akk)
sich setzen,sich (Akk)
versuchen,etw. (Akk)
schreiben,jdm. (Dat) etw. (Akk)
erzählen,jdm. (Dat) etw. (Akk)
beginnen,mit etw. / etw. (Akk)
erklären,jdm. (Dat) etw. (Akk)
laufen,---
entsprechen,etw./jdm. (Dat)
ziehen,etw. (Akk)
sitzen,---
gehören,jdm. (Dat)
scheinen,jdm. (Dat)
fallen,---
legen,etw./jdn. (Akk)
entstehen,---
suchen,etw./jdn. (Akk)
treffen,jdn. (Akk) / sich mit jdm.
handeln,mit etw. / von etw.
erhalten,etw. (Akk)
vorstellen,jdm. (Dat) jdn./etw. (Akk) / sich (Dat) etw. (Akk)
erreichen,etw./jdn. (Akk)
tragen,etw./jdn. (Akk)
schaffen,etw. (Akk)
lesen,etw. (Akk)
verlieren,etw./jdn. (Akk)
darstellen,etw./jdn. (Akk)
erkennen,jdn./etw. (Akk)
aussehen,nach etw.
entwickeln,etw. (Akk)
reden,mit jdm. / über etw.
erscheinen,jdm. (Dat)
erwarten,etw./jdn. (Akk)
wohnen,---
bilden,etw. (Akk)
anfangen,mit etw.
helfen,jdm. (Dat)
vergehen,---
betreffen,jdn./etw. (Akk)
warten,auf jdn./etw.
erinnern,jdn. (Akk) an etw.
gewinnen,etw. (Akk)
sich erinnern,an jdn./etw.
bieten,jdm. (Dat) etw. (Akk)
schließen,etw. (Akk)
studieren,etw. (Akk)
ergeben,etw. (Akk)
verbinden,jdn./etw. (Akk) mit jdm./etw.
fühlen,etw. (Akk)
fehlen,jdm. (Dat)
sich interessieren,für etw./jdn.
ansehen,jdm. (Dat) etw. (Akk) / sich (Dat) etw. (Akk)
bedeuten,jdm. (Dat) etw. (Akk)
interessieren,jdn. (Akk)
nutzen,etw. (Akk)
anbieten,jdm. (Dat) etw. (Akk)
steigen,---
sich ergeben,aus etw.
schauen,auf etw./jdn.
vergleichen,etw./jdn. (Akk) mit jdm./etw.
einsetzen,etw./jdn. (Akk)
ausgehen,von etw.
wachsen,---
ändern,etw. (Akk)
geschehen,jdm. (Dat)
beschreiben,jdm. (Dat) etw. (Akk)
sich verlassen,auf jdn./etw.
verlassen,jdn./etw. (Akk)
bezeichnen,jdn./etw. (Akk) als etw.
sich befinden,---
wirken,auf jdn./etw.
annehmen,etw. (Akk)
planen,etw. (Akk)
kriegen,etw. (Akk)
passieren,jdm. (Dat)
rufen,jdn. (Akk)
öffnen,jdm. (Dat) etw. (Akk)
zunehmen,---
fordern,etw. (Akk) von jdm.
gefallen,jdm. (Dat)
bestimmen,etw. (Akk)
aufnehmen,etw./jdn. (Akk)
treten,jdn. (Akk)
verändern,etw./jdn. (Akk)
übernehmen,etw. (Akk)
lachen,über jdn./etw.
schlagen,jdn./etw. (Akk)
kaufen,jdm. (Dat) etw. (Akk)
gelingen,jdm. (Dat)
betrachten,jdn./etw. (Akk) als etw.
verwenden,etw. (Akk)
sich enthalten,jds./etw. (Gen)
erfolgen,---
wählen,jdn./etw. (Akk)
enthalten,etw. (Akk)
entscheiden,über etw. (Akk)
stattfinden,---
feststellen,etw. (Akk)
bewegen,etw./jdn. (Akk)
dienen,jdm. (Dat) / als etw.
erfahren,etw. (Akk) von jdm.
vergessen,etw./jdn. (Akk)
sich verhalten,---
stimmen,für/gegen jdn./etw.
berichten,jdm. (Dat) über etw./jdn.
auftreten,---
trinken,etw. (Akk)
rechnen,mit jdm./etw.
erleben,etw. (Akk)
beobachten,jdn./etw. (Akk)
holen,jdm. (Dat) etw. (Akk)
unterscheiden,etw./jdn. (Akk) von etw./jdm.
sterben,an etw. (Dat)
werfen,etw. (Akk)
essen,etw. (Akk)
leisten,sich (Dat) etw. (Akk)
reichen,jdm. (Dat) etw. (Akk)
verlangen,etw. (Akk) von jdm.
sich freuen,auf/über etw. (Akk)
hängen,etw. (Akk) / (Dat-Position)
hoffen,auf etw. (Akk)
freuen,jdn. (Akk)
teilen,etw. (Akk) mit jdm.
